STT,Stock Code,Organization Name,Sector,First Trading Date,Listing Volume,Stock Volume
1,AAV,CTCP AAV Group,Hoạt động kinh doanh bất động sản,25/6/2018,68.987.661,68.987.661
2,ADC,Công ty cổ phần Mĩ thuật và Truyền thông,"Thông tin, truyền thông và các hoạt động khác",24/12/2010,3.977.936,3.977.936
3,ALT,CTCP Văn hóa Tân Bình,Công nghiệp,27/7/2009,6.172.523,5.736.709
4,AMC,CTCP Khoáng sản Á Châu,Khai khoáng và Dầu khí,15/2/2012,2.850.000,2.850.000
5,AME,CTCP Alphanam E&C,Xây dựng,2/6/2010,65.200.000,65.200.000
6,AMV,CTCP Sản xuất kinh doanh dược và trang thiết bị y tế Việt Mỹ,Y tế,20/12/2009,131.105.650,131.105.650
7,API,CTCP Đầu tư Châu Á - Thái Bình Dương,Tài chính,13/9/2010,84.083.976,84.083.976
8,APS,Công ty Cổ phần Chứng khoán Châu Á - Thái Bình Dương,Tài chính,19/4/2010,83.000.000,83.000.000
9,ARM,CTCP Xuất nhập khẩu hàng không,"Thương mại và dịch vụ lưu trú, ăn uống",26/10/2010,3.111.283,3.111.283
10,ART,Công ty Cổ phần Chứng khoán BOS,Tài chính,28/9/2018,96.922.509,96.922.509
11,ATS,Công ty cổ phần Tập đoàn dược phẩm Atesco,"Thương mại và dịch vụ lưu trú, ăn uống",29/3/2016,3.500.000,3.500.000
12,BAB,Ngân hàng Thương mại Cổ phần Bắc Á,Tài chính,3/3/2021,813.386.340,833.426.644
13,BAX,CTCP Thống Nhất,Hoạt động kinh doanh bất động sản,24/3/2017,8.200.000,8.200.000
14,BBS,Công ty CP Vicem bao bì Bút Sơn,Công nghiệp,28/12/2005,6.000.000,6.000.000
15,BCC,CTCP Xi măng Bỉm Sơn,Công nghiệp,24/11/2006,123.209.812,123.209.812
16,BCF,CTCP Thực phẩm Bích Chi,,16/3/2020,27.830.412,27.830.412
17,BDB,CTCP Sách và thiết bị Bình Định,"Thương mại và dịch vụ lưu trú, ăn uống",29/1/2010,1.126.474,1.126.474
18,BED,CTCP Sách và Thiết bị trường học Đà Nẵng,"Thương mại và dịch vụ lưu trú, ăn uống",21/10/2009,3.000.000,3.000.000
19,BKC,CTCP Khoáng Sản Bắc Kạn,Khai khoáng và Dầu khí,18/8/2009,11.737.728,11.737.728
20,BLF,CTCP Thủy sản Bạc Liêu,Công nghiệp,2/6/2008,11.500.000,11.500.000
21,BNA,CTCP Đầu tư Sản xuất Bảo Ngọc,,12/10/2020,24.999.855,24.999.855
22,BPC,CTCP Vicem Bao bì Bỉm sơn,Công nghiệp,8/6/2009,3.800.000,3.800.000
23,BSC,CÔNG TY CP DỊCH VỤ BẾN THÀNH,Hoạt động kinh doanh bất động sản,5/1/2011,3.150.747,3.150.747
24,BST,CTCP Sách và Thiết bị Bình Thuận,"Thương mại và dịch vụ lưu trú, ăn uống",18/12/2008,1.100.000,1.100.000
