STT,Stock Code,Organization Name,First Trading Date,Listing Volume,Stock Volume
1,A32,CTCP 32,23/10/2018,6.800.000,6.800.000
2,AAS,CTCP Chứng khoán SmartInvest,23/7/2020,80.000.000,80.000.000
3,ABB,Ngân hàng TMCP An Bình,28/12/2020,940.947.082,1.035.036.762
4,ABC,CTCP Truyền thông VMG,18/8/2016,20.393.000,20.389.000
5,ABI,CTCP Bảo hiểm Ngân hàng Nông Nghiệp,16/7/2009,51.557.417,50.399.217
6,ABW,CTCP Chứng khoán An Bình,30/5/2023,101.150.000,101.150.000
7,ACE,CTCP Bê tông Ly tâm An Giang,10/11/2009,3.050.781,3.050.781
8,ACM,CTCP Tập đoàn Khoáng sản Á Cường,19/7/2022,51.000.000,51.000.000
9,ACS,CTCP Xây lắp Thương mại 2,13/7/2017,4.000.000,4.000.000
10,ACV,Tổng công ty Cảng hàng không Việt Nam - CTCP,21/11/2016,2.177.173.236,2.176.950.436
11,ADP,CTCP Sơn Á Đông,2/2/2010,23.039.850,23.039.850
12,AFX,CTCP Xuất nhập khẩu Nông sản Thực phẩm An Giang,2/12/2016,35.000.000,35.000.000
13,AG1,CTCP 28.1,10/1/2018,4.863.386,4.863.386
14,AGE,CTCP Môi trường Đô thị An Giang,15/8/2022,19.893.000,19.893.000
15,AGF,CTCP Xuất nhập khẩu Thủy sản An Giang,24/2/2020,28.109.743,28.109.743
16,AGP,CTCP Dược phẩm Agimexpharm,6/10/2015,17.969.247,17.969.247
17,AGX,CTCP Thực phẩm Nông sản Xuất khẩu Sài Gòn,14/9/2015,10.800.000,10.800.000
18,AIC,Tổng Công ty cổ phần Bảo hiểm Hàng Không,8/1/2021,100.000.000,100.000.000
19,ALV,CTCP Xây dựng ALVICO,21/6/2019,5.657.936,5.657.936
20,AMP,CTCP Armephaco,12/1/2017,13.000.000,13.000.000
21,AMS,CTCP Cơ khí Xây dựng AMECC,6/2/2017,60.000.000,60.000.000
